datetime,num_orders,date,hour,dayofweek,day_name
2018-03-02 14:00:00,44,2018-03-02,14,4,Friday
2018-03-02 15:00:00,59,2018-03-02,15,4,Friday
2018-03-02 16:00:00,82,2018-03-02,16,4,Friday
2018-03-02 17:00:00,83,2018-03-02,17,4,Friday
2018-03-02 18:00:00,89,2018-03-02,18,4,Friday
2018-03-02 19:00:00,49,2018-03-02,19,4,Friday
2018-03-02 20:00:00,93,2018-03-02,20,4,Friday
2018-03-02 21:00:00,101,2018-03-02,21,4,Friday
2018-03-02 22:00:00,119,2018-03-02,22,4,Friday
2018-03-02 23:00:00,72,2018-03-02,23,4,Friday
2018-03-03 00:00:00,163,2018-03-03,0,5,Saturday
2018-03-03 01:00:00,108,2018-03-03,1,5,Saturday
2018-03-03 02:00:00,25,2018-03-03,2,5,Saturday
2018-03-03 03:00:00,64,2018-03-03,3,5,Saturday
2018-03-03 04:00:00,44,2018-03-03,4,5,Saturday
2018-03-03 05:00:00,15,2018-03-03,5,5,Saturday
2018-03-03 06:00:00,9,2018-03-03,6,5,Saturday
2018-03-03 07:00:00,17,2018-03-03,7,5,Saturday
2018-03-03 08:00:00,56,2018-03-03,8,5,Saturday
2018-03-03 09:00:00,73,2018-03-03,9,5,Saturday
2018-03-03 10:00:00,52,2018-03-03,10,5,Saturday
2018-03-03 11:00:00,57,2018-03-03,11,5,Saturday
2018-03-03 12:00:00,32,2018-03-03,12,5,Saturday
2018-03-03 13:00:00,28,2018-03-03,13,5,Saturday
2018-03-03 14:00:00,41,2018-03-03,14,5,Saturday
2018-03-03 15:00:00,76,2018-03-03,15,5,Saturday
2018-03-03 16:00:00,46,2018-03-03,16,5,Saturday
2018-03-03 17:00:00,49,2018-03-03,17,5,Saturday
2018-03-03 18:00:00,68,2018-03-03,18,5,Saturday
2018-03-03 19:00:00,30,2018-03-03,19,5,Saturday
2018-03-03 20:00:00,83,2018-03-03,20,5,Saturday
2018-03-03 21:00:00,48,2018-03-03,21,5,Saturday
2018-03-03 22:00:00,63,2018-03-03,22,5,Saturday
2018-03-03 23:00:00,43,2018-03-03,23,5,Saturday
2018-03-04 00:00:00,75,2018-03-04,0,6,Sunday
2018-03-04 01:00:00,60,2018-03-04,1,6,Sunday
2018-03-04 02:00:00,26,2018-03-04,2,6,Sunday
2018-03-04 03:00:00,42,2018-03-04,3,6,Sunday
2018-03-04 04:00:00,27,2018-03-04,4,6,Sunday
2018-03-04 05:00:00,22,2018-03-04,5,6,Sunday
2018-03-04 06:00:00,11,2018-03-04,6,6,Sunday
2018-03-04 07:00:00,12,2018-03-04,7,6,Sunday
2018-03-04 08:00:00,39,2018-03-04,8,6,Sunday
2018-03-04 09:00:00,39,2018-03-04,9,6,Sunday
2018-03-04 10:00:00,19,2018-03-04,10,6,Sunday
2018-03-04 11:00:00,41,2018-03-04,11,6,Sunday
2018-03-04 12:00:00,30,2018-03-04,12,6,Sunday
2018-03-04 13:00:00,30,2018-03-04,13,6,Sunday
2018-03-04 14:00:00,56,2018-03-04,14,6,Sunday
2018-03-04 15:00:00,58,2018-03-04,15,6,Sunday
2018-03-04 16:00:00,64,2018-03-04,16,6,Sunday
2018-03-04 17:00:00,51,2018-03-04,17,6,Sunday
2018-03-04 18:00:00,80,2018-03-04,18,6,Sunday
2018-03-04 19:00:00,56,2018-03-04,19,6,Sunday
2018-03-04 20:00:00,77,2018-03-04,20,6,Sunday
2018-03-04 21:00:00,75,2018-03-04,21,6,Sunday
2018-03-04 22:00:00,83,2018-03-04,22,6,Sunday
2018-03-04 23:00:00,68,2018-03-04,23,6,Sunday
2018-03-05 00:00:00,86,2018-03-05,0,0,Monday
2018-03-05 01:00:00,176,2018-03-05,1,0,Monday
2018-03-05 02:00:00,32,2018-03-05,2,0,Monday
2018-03-05 03:00:00,51,2018-03-05,3,0,Monday
2018-03-05 04:00:00,34,2018-03-05,4,0,Monday
2018-03-05 05:00:00,16,2018-03-05,5,0,Monday
2018-03-05 06:00:00,3,2018-03-05,6,0,Monday
2018-03-05 07:00:00,14,2018-03-05,7,0,Monday
2018-03-05 08:00:00,31,2018-03-05,8,0,Monday
2018-03-05 09:00:00,59,2018-03-05,9,0,Monday
2018-03-05 10:00:00,50,2018-03-05,10,0,Monday
2018-03-05 11:00:00,62,2018-03-05,11,0,Monday
2018-03-05 12:00:00,85,2018-03-05,12,0,Monday
2018-03-05 13:00:00,37,2018-03-05,13,0,Monday
2018-03-05 14:00:00,58,2018-03-05,14,0,Monday
2018-03-05 15:00:00,45,2018-03-05,15,0,Monday
2018-03-05 16:00:00,59,2018-03-05,16,0,Monday
2018-03-05 17:00:00,37,2018-03-05,17,0,Monday
2018-03-05 18:00:00,86,2018-03-05,18,0,Monday
2018-03-05 19:00:00,37,2018-03-05,19,0,Monday
2018-03-05 20:00:00,40,2018-03-05,20,0,Monday
2018-03-05 21:00:00,42,2018-03-05,21,0,Monday
2018-03-05 22:00:00,72,2018-03-05,22,0,Monday
2018-03-05 23:00:00,47,2018-03-05,23,0,Monday
2018-03-06 00:00:00,42,2018-03-06,0,1,Tuesday
2018-03-06 01:00:00,75,2018-03-06,1,1,Tuesday
2018-03-06 02:00:00,36,2018-03-06,2,1,Tuesday
2018-03-06 03:00:00,49,2018-03-06,3,1,Tuesday
2018-03-06 04:00:00,30,2018-03-06,4,1,Tuesday
2018-03-06 05:00:00,36,2018-03-06,5,1,Tuesday
2018-03-06 06:00:00,7,2018-03-06,6,1,Tuesday
2018-03-06 07:00:00,10,2018-03-06,7,1,Tuesday
2018-03-06 08:00:00,25,2018-03-06,8,1,Tuesday
2018-03-06 09:00:00,52,2018-03-06,9,1,Tuesday
2018-03-06 10:00:00,51,2018-03-06,10,1,Tuesday
2018-03-06 11:00:00,48,2018-03-06,11,1,Tuesday
2018-03-06 12:00:00,41,2018-03-06,12,1,Tuesday
2018-03-06 13:00:00,42,2018-03-06,13,1,Tuesday
2018-03-06 14:00:00,40,2018-03-06,14,1,Tuesday
2018-03-06 15:00:00,63,2018-03-06,15,1,Tuesday
2018-03-06 16:00:00,42,2018-03-06,16,1,Tuesday
2018-03-06 17:00:00,52,2018-03-06,17,1,Tuesday
2018-03-06 18:00:00,51,2018-03-06,18,1,Tuesday
2018-03-06 19:00:00,48,2018-03-06,19,1,Tuesday
2018-03-06 20:00:00,83,2018-03-06,20,1,Tuesday
2018-03-06 21:00:00,58,2018-03-06,21,1,Tuesday
2018-03-06 22:00:00,81,2018-03-06,22,1,Tuesday
2018-03-06 23:00:00,47,2018-03-06,23,1,Tuesday
2018-03-07 00:00:00,100,2018-03-07,0,2,Wednesday
2018-03-07 01:00:00,121,2018-03-07,1,2,Wednesday
2018-03-07 02:00:00,24,2018-03-07,2,2,Wednesday
2018-03-07 03:00:00,66,2018-03-07,3,2,Wednesday
2018-03-07 04:00:00,73,2018-03-07,4,2,Wednesday
2018-03-07 05:00:00,10,2018-03-07,5,2,Wednesday
2018-03-07 06:00:00,19,2018-03-07,6,2,Wednesday
2018-03-07 07:00:00,17,2018-03-07,7,2,Wednesday
2018-03-07 08:00:00,38,2018-03-07,8,2,Wednesday
2018-03-07 09:00:00,50,2018-03-07,9,2,Wednesday
2018-03-07 10:00:00,34,2018-03-07,10,2,Wednesday
2018-03-07 11:00:00,58,2018-03-07,11,2,Wednesday
2018-03-07 12:00:00,34,2018-03-07,12,2,Wednesday
2018-03-07 13:00:00,55,2018-03-07,13,2,Wednesday
2018-03-07 14:00:00,43,2018-03-07,14,2,Wednesday
2018-03-07 15:00:00,51,2018-03-07,15,2,Wednesday
2018-03-07 16:00:00,46,2018-03-07,16,2,Wednesday
2018-03-07 17:00:00,48,2018-03-07,17,2,Wednesday
2018-03-07 18:00:00,99,2018-03-07,18,2,Wednesday
2018-03-07 19:00:00,50,2018-03-07,19,2,Wednesday
2018-03-07 20:00:00,76,2018-03-07,20,2,Wednesday
2018-03-07 21:00:00,108,2018-03-07,21,2,Wednesday
2018-03-07 22:00:00,127,2018-03-07,22,2,Wednesday
2018-03-07 23:00:00,94,2018-03-07,23,2,Wednesday
2018-03-08 00:00:00,143,2018-03-08,0,3,Thursday
2018-03-08 01:00:00,78,2018-03-08,1,3,Thursday
2018-03-08 02:00:00,65,2018-03-08,2,3,Thursday
2018-03-08 03:00:00,68,2018-03-08,3,3,Thursday
2018-03-08 04:00:00,60,2018-03-08,4,3,Thursday
2018-03-08 05:00:00,6,2018-03-08,5,3,Thursday
2018-03-08 06:00:00,6,2018-03-08,6,3,Thursday
2018-03-08 07:00:00,19,2018-03-08,7,3,Thursday
2018-03-08 08:00:00,77,2018-03-08,8,3,Thursday
2018-03-08 09:00:00,97,2018-03-08,9,3,Thursday
2018-03-08 10:00:00,68,2018-03-08,10,3,Thursday
2018-03-08 11:00:00,80,2018-03-08,11,3,Thursday
2018-03-08 12:00:00,48,2018-03-08,12,3,Thursday
2018-03-08 13:00:00,47,2018-03-08,13,3,Thursday
2018-03-08 14:00:00,62,2018-03-08,14,3,Thursday
2018-03-08 15:00:00,78,2018-03-08,15,3,Thursday
2018-03-08 16:00:00,96,2018-03-08,16,3,Thursday
2018-03-08 17:00:00,41,2018-03-08,17,3,Thursday
2018-03-08 18:00:00,81,2018-03-08,18,3,Thursday
2018-03-08 19:00:00,72,2018-03-08,19,3,Thursday
2018-03-08 20:00:00,114,2018-03-08,20,3,Thursday
2018-03-08 21:00:00,86,2018-03-08,21,3,Thursday
2018-03-08 22:00:00,88,2018-03-08,22,3,Thursday
2018-03-08 23:00:00,79,2018-03-08,23,3,Thursday
2018-03-09 00:00:00,84,2018-03-09,0,4,Friday
2018-03-09 01:00:00,66,2018-03-09,1,4,Friday
2018-03-09 02:00:00,29,2018-03-09,2,4,Friday
2018-03-09 03:00:00,31,2018-03-09,3,4,Friday
2018-03-09 04:00:00,30,2018-03-09,4,4,Friday
2018-03-09 05:00:00,1,2018-03-09,5,4,Friday
2018-03-09 06:00:00,4,2018-03-09,6,4,Friday
2018-03-09 07:00:00,16,2018-03-09,7,4,Friday
2018-03-09 08:00:00,36,2018-03-09,8,4,Friday
2018-03-09 09:00:00,43,2018-03-09,9,4,Friday
2018-03-09 10:00:00,43,2018-03-09,10,4,Friday
2018-03-09 11:00:00,49,2018-03-09,11,4,Friday
2018-03-09 12:00:00,24,2018-03-09,12,4,Friday
2018-03-09 13:00:00,48,2018-03-09,13,4,Friday
2018-03-09 14:00:00,55,2018-03-09,14,4,Friday
2018-03-09 15:00:00,44,2018-03-09,15,4,Friday
2018-03-09 16:00:00,59,2018-03-09,16,4,Friday
2018-03-09 17:00:00,66,2018-03-09,17,4,Friday
2018-03-09 18:00:00,39,2018-03-09,18,4,Friday
2018-03-09 19:00:00,48,2018-03-09,19,4,Friday
2018-03-09 20:00:00,60,2018-03-09,20,4,Friday
2018-03-09 21:00:00,70,2018-03-09,21,4,Friday
2018-03-09 22:00:00,82,2018-03-09,22,4,Friday
2018-03-09 23:00:00,49,2018-03-09,23,4,Friday
2018-03-10 00:00:00,117,2018-03-10,0,5,Saturday
2018-03-10 01:00:00,78,2018-03-10,1,5,Saturday
2018-03-10 02:00:00,24,2018-03-10,2,5,Saturday
2018-03-10 03:00:00,44,2018-03-10,3,5,Saturday
2018-03-10 04:00:00,46,2018-03-10,4,5,Saturday
2018-03-10 05:00:00,12,2018-03-10,5,5,Saturday
2018-03-10 06:00:00,5,2018-03-10,6,5,Saturday
2018-03-10 07:00:00,18,2018-03-10,7,5,Saturday
2018-03-10 08:00:00,46,2018-03-10,8,5,Saturday
2018-03-10 09:00:00,43,2018-03-10,9,5,Saturday
2018-03-10 10:00:00,48,2018-03-10,10,5,Saturday
2018-03-10 11:00:00,58,2018-03-10,11,5,Saturday
2018-03-10 12:00:00,34,2018-03-10,12,5,Saturday
2018-03-10 13:00:00,47,2018-03-10,13,5,Saturday
2018-03-10 14:00:00,37,2018-03-10,14,5,Saturday
2018-03-10 15:00:00,93,2018-03-10,15,5,Saturday
2018-03-10 16:00:00,53,2018-03-10,16,5,Saturday
2018-03-10 17:00:00,60,2018-03-10,17,5,Saturday
2018-03-10 18:00:00,102,2018-03-10,18,5,Saturday
2018-03-10 19:00:00,33,2018-03-10,19,5,Saturday
2018-03-10 20:00:00,54,2018-03-10,20,5,Saturday
2018-03-10 21:00:00,62,2018-03-10,21,5,Saturday
2018-03-10 22:00:00,80,2018-03-10,22,5,Saturday
2018-03-10 23:00:00,73,2018-03-10,23,5,Saturday
2018-03-11 00:00:00,81,2018-03-11,0,6,Sunday
2018-03-11 01:00:00,83,2018-03-11,1,6,Sunday
2018-03-11 02:00:00,36,2018-03-11,2,6,Sunday
2018-03-11 03:00:00,49,2018-03-11,3,6,Sunday
2018-03-11 04:00:00,30,2018-03-11,4,6,Sunday
2018-03-11 05:00:00,11,2018-03-11,5,6,Sunday
2018-03-11 06:00:00,16,2018-03-11,6,6,Sunday
2018-03-11 07:00:00,14,2018-03-11,7,6,Sunday
2018-03-11 08:00:00,43,2018-03-11,8,6,Sunday
2018-03-11 09:00:00,66,2018-03-11,9,6,Sunday
2018-03-11 10:00:00,56,2018-03-11,10,6,Sunday
2018-03-11 11:00:00,51,2018-03-11,11,6,Sunday
2018-03-11 12:00:00,50,2018-03-11,12,6,Sunday
2018-03-11 13:00:00,80,2018-03-11,13,6,Sunday
2018-03-11 14:00:00,72,2018-03-11,14,6,Sunday
2018-03-11 15:00:00,60,2018-03-11,15,6,Sunday
2018-03-11 16:00:00,93,2018-03-11,16,6,Sunday
2018-03-11 17:00:00,78,2018-03-11,17,6,Sunday
2018-03-11 18:00:00,107,2018-03-11,18,6,Sunday
2018-03-11 19:00:00,99,2018-03-11,19,6,Sunday
2018-03-11 20:00:00,99,2018-03-11,20,6,Sunday
2018-03-11 21:00:00,119,2018-03-11,21,6,Sunday
2018-03-11 22:00:00,89,2018-03-11,22,6,Sunday
2018-03-11 23:00:00,118,2018-03-11,23,6,Sunday
2018-03-12 00:00:00,102,2018-03-12,0,0,Monday
2018-03-12 01:00:00,153,2018-03-12,1,0,Monday
2018-03-12 02:00:00,57,2018-03-12,2,0,Monday
2018-03-12 03:00:00,51,2018-03-12,3,0,Monday
2018-03-12 04:00:00,49,2018-03-12,4,0,Monday
2018-03-12 05:00:00,31,2018-03-12,5,0,Monday
2018-03-12 06:00:00,15,2018-03-12,6,0,Monday
2018-03-12 07:00:00,19,2018-03-12,7,0,Monday
2018-03-12 08:00:00,75,2018-03-12,8,0,Monday
2018-03-12 09:00:00,105,2018-03-12,9,0,Monday
2018-03-12 10:00:00,83,2018-03-12,10,0,Monday
2018-03-12 11:00:00,84,2018-03-12,11,0,Monday
2018-03-12 12:00:00,45,2018-03-12,12,0,Monday
2018-03-12 13:00:00,64,2018-03-12,13,0,Monday
2018-03-12 14:00:00,58,2018-03-12,14,0,Monday
2018-03-12 15:00:00,73,2018-03-12,15,0,Monday
2018-03-12 16:00:00,61,2018-03-12,16,0,Monday
2018-03-12 17:00:00,94,2018-03-12,17,0,Monday
2018-03-12 18:00:00,107,2018-03-12,18,0,Monday
2018-03-12 19:00:00,45,2018-03-12,19,0,Monday
2018-03-12 20:00:00,46,2018-03-12,20,0,Monday
2018-03-12 21:00:00,81,2018-03-12,21,0,Monday
2018-03-12 22:00:00,67,2018-03-12,22,0,Monday
2018-03-12 23:00:00,57,2018-03-12,23,0,Monday
2018-03-13 00:00:00,91,2018-03-13,0,1,Tuesday
2018-03-13 01:00:00,88,2018-03-13,1,1,Tuesday
2018-03-13 02:00:00,58,2018-03-13,2,1,Tuesday
2018-03-13 03:00:00,63,2018-03-13,3,1,Tuesday
2018-03-13 04:00:00,42,2018-03-13,4,1,Tuesday
2018-03-13 05:00:00,17,2018-03-13,5,1,Tuesday
2018-03-13 06:00:00,15,2018-03-13,6,1,Tuesday
2018-03-13 07:00:00,20,2018-03-13,7,1,Tuesday
2018-03-13 08:00:00,57,2018-03-13,8,1,Tuesday
2018-03-13 09:00:00,44,2018-03-13,9,1,Tuesday
2018-03-13 10:00:00,53,2018-03-13,10,1,Tuesday
2018-03-13 11:00:00,75,2018-03-13,11,1,Tuesday
2018-03-13 12:00:00,34,2018-03-13,12,1,Tuesday
2018-03-13 13:00:00,40,2018-03-13,13,1,Tuesday
2018-03-13 14:00:00,50,2018-03-13,14,1,Tuesday
2018-03-13 15:00:00,69,2018-03-13,15,1,Tuesday
2018-03-13 16:00:00,64,2018-03-13,16,1,Tuesday
2018-03-13 17:00:00,35,2018-03-13,17,1,Tuesday
2018-03-13 18:00:00,109,2018-03-13,18,1,Tuesday
2018-03-13 19:00:00,40,2018-03-13,19,1,Tuesday
2018-03-13 20:00:00,91,2018-03-13,20,1,Tuesday
2018-03-13 21:00:00,77,2018-03-13,21,1,Tuesday
2018-03-13 22:00:00,62,2018-03-13,22,1,Tuesday
2018-03-13 23:00:00,75,2018-03-13,23,1,Tuesday
2018-03-14 00:00:00,84,2018-03-14,0,2,Wednesday
2018-03-14 01:00:00,72,2018-03-14,1,2,Wednesday
2018-03-14 02:00:00,39,2018-03-14,2,2,Wednesday
2018-03-14 03:00:00,57,2018-03-14,3,2,Wednesday
2018-03-14 04:00:00,21,2018-03-14,4,2,Wednesday
2018-03-14 05:00:00,15,2018-03-14,5,2,Wednesday
2018-03-14 06:00:00,19,2018-03-14,6,2,Wednesday
2018-03-14 07:00:00,8,2018-03-14,7,2,Wednesday
2018-03-14 08:00:00,35,2018-03-14,8,2,Wednesday
2018-03-14 09:00:00,60,2018-03-14,9,2,Wednesday
2018-03-14 10:00:00,46,2018-03-14,10,2,Wednesday
2018-03-14 11:00:00,58,2018-03-14,11,2,Wednesday
2018-03-14 12:00:00,41,2018-03-14,12,2,Wednesday
2018-03-14 13:00:00,67,2018-03-14,13,2,Wednesday
2018-03-14 14:00:00,72,2018-03-14,14,2,Wednesday
2018-03-14 15:00:00,51,2018-03-14,15,2,Wednesday
2018-03-14 16:00:00,59,2018-03-14,16,2,Wednesday
2018-03-14 17:00:00,57,2018-03-14,17,2,Wednesday
2018-03-14 18:00:00,65,2018-03-14,18,2,Wednesday
2018-03-14 19:00:00,46,2018-03-14,19,2,Wednesday
2018-03-14 20:00:00,83,2018-03-14,20,2,Wednesday
2018-03-14 21:00:00,77,2018-03-14,21,2,Wednesday
2018-03-14 22:00:00,81,2018-03-14,22,2,Wednesday
2018-03-14 23:00:00,65,2018-03-14,23,2,Wednesday
2018-03-15 00:00:00,123,2018-03-15,0,3,Thursday
2018-03-15 01:00:00,85,2018-03-15,1,3,Thursday
2018-03-15 02:00:00,55,2018-03-15,2,3,Thursday
2018-03-15 03:00:00,42,2018-03-15,3,3,Thursday
2018-03-15 04:00:00,15,2018-03-15,4,3,Thursday
2018-03-15 05:00:00,20,2018-03-15,5,3,Thursday
2018-03-15 06:00:00,5,2018-03-15,6,3,Thursday
2018-03-15 07:00:00,17,2018-03-15,7,3,Thursday
2018-03-15 08:00:00,33,2018-03-15,8,3,Thursday
2018-03-15 09:00:00,65,2018-03-15,9,3,Thursday
2018-03-15 10:00:00,54,2018-03-15,10,3,Thursday
2018-03-15 11:00:00,58,2018-03-15,11,3,Thursday
2018-03-15 12:00:00,57,2018-03-15,12,3,Thursday
2018-03-15 13:00:00,46,2018-03-15,13,3,Thursday
2018-03-15 14:00:00,64,2018-03-15,14,3,Thursday
2018-03-15 15:00:00,67,2018-03-15,15,3,Thursday
2018-03-15 16:00:00,60,2018-03-15,16,3,Thursday
2018-03-15 17:00:00,60,2018-03-15,17,3,Thursday
2018-03-15 18:00:00,72,2018-03-15,18,3,Thursday
2018-03-15 19:00:00,49,2018-03-15,19,3,Thursday
2018-03-15 20:00:00,94,2018-03-15,20,3,Thursday
2018-03-15 21:00:00,57,2018-03-15,21,3,Thursday
2018-03-15 22:00:00,85,2018-03-15,22,3,Thursday
2018-03-15 23:00:00,101,2018-03-15,23,3,Thursday
2018-03-16 00:00:00,110,2018-03-16,0,4,Friday
2018-03-16 01:00:00,134,2018-03-16,1,4,Friday
2018-03-16 02:00:00,39,2018-03-16,2,4,Friday
2018-03-16 03:00:00,27,2018-03-16,3,4,Friday
2018-03-16 04:00:00,47,2018-03-16,4,4,Friday
2018-03-16 05:00:00,12,2018-03-16,5,4,Friday
2018-03-16 06:00:00,5,2018-03-16,6,4,Friday
2018-03-16 07:00:00,22,2018-03-16,7,4,Friday
2018-03-16 08:00:00,56,2018-03-16,8,4,Friday
2018-03-16 09:00:00,44,2018-03-16,9,4,Friday
2018-03-16 10:00:00,85,2018-03-16,10,4,Friday
2018-03-16 11:00:00,61,2018-03-16,11,4,Friday
2018-03-16 12:00:00,54,2018-03-16,12,4,Friday
2018-03-16 13:00:00,43,2018-03-16,13,4,Friday
2018-03-16 14:00:00,67,2018-03-16,14,4,Friday
2018-03-16 15:00:00,49,2018-03-16,15,4,Friday
2018-03-16 16:00:00,88,2018-03-16,16,4,Friday
2018-03-16 17:00:00,59,2018-03-16,17,4,Friday
2018-03-16 18:00:00,73,2018-03-16,18,4,Friday
2018-03-16 19:00:00,65,2018-03-16,19,4,Friday
2018-03-16 20:00:00,86,2018-03-16,20,4,Friday
2018-03-16 21:00:00,133,2018-03-16,21,4,Friday
2018-03-16 22:00:00,118,2018-03-16,22,4,Friday
2018-03-16 23:00:00,100,2018-03-16,23,4,Friday
2018-03-17 00:00:00,137,2018-03-17,0,5,Saturday
2018-03-17 01:00:00,126,2018-03-17,1,5,Saturday
2018-03-17 02:00:00,38,2018-03-17,2,5,Saturday
2018-03-17 03:00:00,67,2018-03-17,3,5,Saturday
2018-03-17 04:00:00,32,2018-03-17,4,5,Saturday
2018-03-17 05:00:00,45,2018-03-17,5,5,Saturday
2018-03-17 06:00:00,6,2018-03-17,6,5,Saturday
2018-03-17 07:00:00,13,2018-03-17,7,5,Saturday
2018-03-17 08:00:00,51,2018-03-17,8,5,Saturday
2018-03-17 09:00:00,70,2018-03-17,9,5,Saturday
2018-03-17 10:00:00,58,2018-03-17,10,5,Saturday
2018-03-17 11:00:00,61,2018-03-17,11,5,Saturday
2018-03-17 12:00:00,49,2018-03-17,12,5,Saturday
2018-03-17 13:00:00,43,2018-03-17,13,5,Saturday
2018-03-17 14:00:00,65,2018-03-17,14,5,Saturday
2018-03-17 15:00:00,82,2018-03-17,15,5,Saturday
2018-03-17 16:00:00,53,2018-03-17,16,5,Saturday
2018-03-17 17:00:00,41,2018-03-17,17,5,Saturday
2018-03-17 18:00:00,83,2018-03-17,18,5,Saturday
2018-03-17 19:00:00,34,2018-03-17,19,5,Saturday
2018-03-17 20:00:00,57,2018-03-17,20,5,Saturday
2018-03-17 21:00:00,64,2018-03-17,21,5,Saturday
2018-03-17 22:00:00,60,2018-03-17,22,5,Saturday
2018-03-17 23:00:00,52,2018-03-17,23,5,Saturday
2018-03-18 00:00:00,70,2018-03-18,0,6,Sunday
2018-03-18 01:00:00,77,2018-03-18,1,6,Sunday
2018-03-18 02:00:00,36,2018-03-18,2,6,Sunday
2018-03-18 03:00:00,35,2018-03-18,3,6,Sunday
2018-03-18 04:00:00,20,2018-03-18,4,6,Sunday
2018-03-18 05:00:00,25,2018-03-18,5,6,Sunday
2018-03-18 06:00:00,5,2018-03-18,6,6,Sunday
2018-03-18 07:00:00,15,2018-03-18,7,6,Sunday
2018-03-18 08:00:00,33,2018-03-18,8,6,Sunday
2018-03-18 09:00:00,58,2018-03-18,9,6,Sunday
2018-03-18 10:00:00,32,2018-03-18,10,6,Sunday
2018-03-18 11:00:00,16,2018-03-18,11,6,Sunday
2018-03-18 12:00:00,32,2018-03-18,12,6,Sunday
2018-03-18 13:00:00,69,2018-03-18,13,6,Sunday
2018-03-18 14:00:00,55,2018-03-18,14,6,Sunday
2018-03-18 15:00:00,72,2018-03-18,15,6,Sunday
2018-03-18 16:00:00,52,2018-03-18,16,6,Sunday
2018-03-18 17:00:00,40,2018-03-18,17,6,Sunday
2018-03-18 18:00:00,75,2018-03-18,18,6,Sunday
2018-03-18 19:00:00,66,2018-03-18,19,6,Sunday
2018-03-18 20:00:00,54,2018-03-18,20,6,Sunday
2018-03-18 21:00:00,81,2018-03-18,21,6,Sunday
2018-03-18 22:00:00,62,2018-03-18,22,6,Sunday
2018-03-18 23:00:00,88,2018-03-18,23,6,Sunday
2018-03-19 00:00:00,97,2018-03-19,0,0,Monday
2018-03-19 01:00:00,163,2018-03-19,1,0,Monday
2018-03-19 02:00:00,20,2018-03-19,2,0,Monday
2018-03-19 03:00:00,65,2018-03-19,3,0,Monday
2018-03-19 04:00:00,46,2018-03-19,4,0,Monday
2018-03-19 05:00:00,10,2018-03-19,5,0,Monday
2018-03-19 06:00:00,10,2018-03-19,6,0,Monday
2018-03-19 07:00:00,12,2018-03-19,7,0,Monday
2018-03-19 08:00:00,40,2018-03-19,8,0,Monday
2018-03-19 09:00:00,73,2018-03-19,9,0,Monday
2018-03-19 10:00:00,69,2018-03-19,10,0,Monday
2018-03-19 11:00:00,83,2018-03-19,11,0,Monday
2018-03-19 12:00:00,39,2018-03-19,12,0,Monday
2018-03-19 13:00:00,45,2018-03-19,13,0,Monday
2018-03-19 14:00:00,50,2018-03-19,14,0,Monday
2018-03-19 15:00:00,48,2018-03-19,15,0,Monday
2018-03-19 16:00:00,44,2018-03-19,16,0,Monday
2018-03-19 17:00:00,65,2018-03-19,17,0,Monday
2018-03-19 18:00:00,57,2018-03-19,18,0,Monday
